2019-06-19 11:05:49 INFO  View:23 - W³¹czono aplikacjê
2019-06-19 11:06:13 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-19 11:06:24 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-19 11:06:29 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-19 11:06:59 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-19 11:07:01 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-19 11:07:18 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-19 11:07:25 INFO  FXMLDocumentController:125 - Gracz zmieni³ jêzyk gry na polski!
2019-06-19 11:07:30 INFO  FXMLDocumentController:113 - Gracz zmieni³ jêzyk gry na angielski!
2019-06-19 11:07:34 INFO  FXMLDocumentController:125 - Gracz zmieni³ jêzyk gry na polski!
2019-06-25 11:25:03 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 12:06:01 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 12:06:04 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 12:06:11 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 12:06:12 INFO  FXMLDocumentController:113 - Gracz zmieni³ jêzyk gry na angielski!
2019-06-25 12:06:18 ERROR FXMLDocumentController:47 - Nie wybrano ¿adnego pliku
2019-06-25 12:34:32 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 12:34:34 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 13:17:29 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 13:17:31 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 13:17:50 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:17:52 INFO  FXMLDocumentController:101 - Gracz rozpocz¹l grê o poziomie trudnym!
2019-06-25 13:18:11 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:18:12 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 13:18:15 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:18:54 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 13:18:55 INFO  FXMLDocumentController:101 - Gracz rozpocz¹l grê o poziomie trudnym!
2019-06-25 13:19:06 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:19:07 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 13:19:20 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:19:21 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 13:19:29 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:19:30 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 13:19:42 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:19:43 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 13:21:14 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 13:21:19 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 13:21:24 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:21:25 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 13:21:28 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:21:28 INFO  FXMLDocumentController:101 - Gracz rozpocz¹l grê o poziomie trudnym!
2019-06-25 13:21:38 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:21:39 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 13:21:50 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 13:21:51 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 13:21:56 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 14:34:32 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 14:34:36 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 14:34:46 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 14:34:47 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 14:35:56 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 14:36:36 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 14:36:38 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 14:36:55 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 14:36:56 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 14:38:44 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 14:38:50 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 14:39:00 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 14:39:02 INFO  FXMLDocumentController:101 - Gracz rozpocz¹l grê o poziomie trudnym!
2019-06-25 14:39:08 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 14:39:08 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 14:39:13 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 14:41:49 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 14:41:52 INFO  FXMLDocumentController:101 - Gracz rozpocz¹l grê o poziomie trudnym!
2019-06-25 14:42:00 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 14:42:01 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 14:42:09 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 14:42:10 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 17:21:20 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 17:21:38 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 17:21:54 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 17:21:55 INFO  FXMLDocumentController:101 - Gracz rozpocz¹l grê o poziomie trudnym!
2019-06-25 17:30:57 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 17:30:59 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 17:31:05 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 17:31:06 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 17:31:45 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 17:31:50 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 17:32:01 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 17:32:03 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 17:32:29 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 17:32:33 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 17:33:31 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 17:33:34 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 17:36:41 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 17:36:59 INFO  FXMLDocumentController:101 - Gracz rozpocz¹l grê o poziomie trudnym!
2019-06-25 17:41:50 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 17:41:54 INFO  FXMLDocumentController:101 - Gracz rozpocz¹l grê o poziomie trudnym!
2019-06-25 17:42:07 INFO  FXMLGraController:54 - Powrocil do menu gry!
2019-06-25 17:42:07 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 17:54:43 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 17:55:28 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 18:08:45 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 18:09:31 INFO  FXMLDocumentController:101 - Gracz rozpocz¹l grê o poziomie trudnym!
2019-06-25 18:09:36 INFO  FXMLGraController:54 - Powrot do menu gry
2019-06-25 18:09:38 INFO  FXMLDocumentController:101 - Gracz rozpocz¹l grê o poziomie trudnym!
2019-06-25 18:09:39 INFO  FXMLGraController:54 - Powrot do menu gry
2019-06-25 18:09:40 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 18:11:50 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 18:11:53 INFO  FXMLDocumentController:86 - Gracz rozpocz¹l grê o poziomie œrednim!
2019-06-25 18:22:58 INFO  View:22 - W³¹czono aplikacjê
2019-06-25 18:23:02 INFO  FXMLDocumentController:71 - Gracz rozpocz¹l grê o poziomie pocz¹tkuj¹cym!
2019-06-25 18:25:22 INFO  View:22 - W³¹czono aplikacjê
